السنة الدراسية,المرحلة الدراسية,المستوى الدراسي,نوع المؤسسة التعليمية,المنطقة الإدارية,نوع الجهة,الجهة التعليمية,المجال الواسع,المجال الضيق,المجال التفصيلي,نظام الدراسة,الجنس,الجنسية,العدد
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,انتظام,أنثى,سعودي,24
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,انتظام,ذكر,سعودي,13
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,انتظام,أنثى,سعودي,53
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,انتظام,أنثى,غير سعودي,4
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,انتظام,ذكر,سعودي,74
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,انتظام,أنثى,سعودي,24
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,انتظام,أنثى,غير سعودي,1
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,انتظام,ذكر,سعودي,22
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,المحاسبة والضرائب,انتظام,ذكر,غير سعودي,1
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,القانون,القانون,انتظام,أنثى,سعودي,15
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,القانون,القانون,انتظام,أنثى,غير سعودي,8
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,القانون,القانون,انتظام,ذكر,سعودي,69
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,القانون,القانون,انتظام,ذكر,غير سعودي,1
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الصحة والرفاه,الصحة,الطب,انتظام,أنثى,سعودي,28
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الصحة والرفاه,الصحة,الطب,انتظام,أنثى,غير سعودي,1
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الصحة والرفاه,الصحة,الطب,انتظام,ذكر,سعودي,14
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الصحة والرفاه,الصحة,الطب,انتظام,ذكر,غير سعودي,2
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الفنون والعلوم الإنسانية,اللغات,اكتساب اللغات,انتظام,أنثى,سعودي,49
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الفنون والعلوم الإنسانية,اللغات,اكتساب اللغات,انتظام,أنثى,غير سعودي,4
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الفنون والعلوم الإنسانية,اللغات,اكتساب اللغات,انتظام,ذكر,سعودي,10
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,الفنون والعلوم الإنسانية,اللغات,اكتساب اللغات,انتظام,ذكر,غير سعودي,1
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,تقنية الاتصالات والمعلومات,البرامج والمؤهلات متعددة التخصصات تتضمن تقنية الاتصالات والمعلومات,البرامج والمؤهلات متعددة التخصصات تتضمن تقنية الاتصالات والمعلومات,انتظام,أنثى,سعودي,16
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,تقنية الاتصالات والمعلومات,البرامج والمؤهلات متعددة التخصصات تتضمن تقنية الاتصالات والمعلومات,البرامج والمؤهلات متعددة التخصصات تتضمن تقنية الاتصالات والمعلومات,انتظام,أنثى,غير سعودي,1
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,تقنية الاتصالات والمعلومات,البرامج والمؤهلات متعددة التخصصات تتضمن تقنية الاتصالات والمعلومات,البرامج والمؤهلات متعددة التخصصات تتضمن تقنية الاتصالات والمعلومات,انتظام,ذكر,سعودي,17
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,تقنية الاتصالات والمعلومات,تقنية الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,انتظام,أنثى,سعودي,24
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,تقنية الاتصالات والمعلومات,تقنية الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,انتظام,أنثى,غير سعودي,3
2021,بكالوريوس,بكالوريوس,الجامعات الحكومية,المنطقة الشرقية,جامعة,الجامعة السعودية الإلكترونية,تقنية الاتصالات والمعلومات,تقنية الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,انتظام,ذكر,سعودي,51
